,X,Site,Elevation,Habitat,degree,species.strength,nestedrank,PDI,resource.range,PSI,betweenness,weighted.betweenness,closeness,weighted.closeness,effective.partners,proportional.similarity,d,Clase,Family,Genus,species,X.y,Fruit_Weight,Fruit_length,Fruit_Width,Seed_Weight,Seed_length,Seed_width,nFruits,nSeed,Plant_Heigth,rlq1,rlq2,rlq1W,rlq2W
113,Ast_300,Bellavista,3000,B_Dis,2,1.33333333333333,0.409090909090909,0.966666666666667,0.933333333333333,1,0,0,0.042056074766355,0.025375247805154,1.88988157484231,0.093333333333333,0.688303994277957,Plant,Asteraceae,Asteraceae,300,113,0.028,7.25,2.125,0.002166061756508,0.002166061756508,0.002166061756508,300,1,3,0.535675402323134,-0.969342962064463,0.208641767145842,1.15220467103047
114,Bra_300,Bellavista,3000,B_Dis,1,0.166666666666667,0.727272727272727,1,1,1,0,0,0.042056074766355,0.016807353217033,1,0.08,0.353759374819711,Plant,Melastomataceae,Brachyotum,300,114,0.205428571,8.528571429,5.828571429,0.002,0.28,0.24,15,1000,2,-0.172575299406495,-1.65112794655873,-1.31907648917127,1.50114883300052
115,Hie_mac,Bellavista,3000,B_Dis,1,0.125,0.5,1,1,1,0,0,0.051401869158879,0.025505266154284,1,0.213333333333333,0.16317116304661,Plant,Phyllanthaceae,Hieronyma,macrocarpa,115,0.3024,0.772,0.754,0.0824,0.616,0.502,20,50,7,0.987458318552719,1.92687625502915,2.15951196109797,-1.67636431021407
116,Ind_300,Bellavista,3000,B_Dis,2,0.395833333333333,0.272727272727273,0.977777777777778,0.933333333333333,1,0.04983660130719,0.041431261770245,0.05807743658211,0.03120863810519,1.75476535060332,0.333333333333333,0.313605274787529,Plant,Indet,Indet,300,116,0.734933333,9.573333333,10.75333333,0.3732,8.82,8.08,30,1,2,-1.38801587341118,-1.76303763109808,-3.49940987678633,0.632801904518304
117,Ind_302,Bellavista,3000,B_Dis,1,0.333333333333333,0.545454545454545,1,1,1,0,0,0.035714285714286,0.023572744014733,1,0.08,0.55788589130226,Plant,Indet,Indet,302,117,0.037666667,3.586666667,3.973333333,0.001,1.12,2.04,40,27.6,4,0.682405659995036,-0.018640824282646,0.832986982486389,0.65675044911226
118,Ind_303,Bellavista,3000,B_Dis,1,0.166666666666667,0.772727272727273,1,1,1,0,0,0.034045393858478,0.012470424495477,1,0.08,0.353759374819711,Plant,Indet,Indet,303,118,0.734933333,9.573333333,10.75333333,0.3732,8.82,8.08,30,1,2,-1.38801587341118,-1.76303763109808,-3.49940987678633,0.632801904518304
119,Lam_300,Bellavista,3000,B_Dis,1,0.4,0.590909090909091,1,1,1,0,0,0.038050734312417,0.015387257427443,1,0.066666666666667,0.631257483273133,Plant,Lamiacea,Lamiacea,300,119,0.004,6.22,3.56,0.002166061756508,0.002166061756508,0.002166061756508,100,50,1.5,0.624709420053025,-1.55166349752862,-0.145262799563756,2.10223508111746
120,Mer_300,Bellavista,3000,B_Dis,1,1,0.818181818181818,1,1,1,0,0,0,NA,1,0.013333333333333,1,Plant,Melastomataceae,Meriania,300,120,0.875625,11.0625,10.9125,0.08325,7.275,3.775,4,5,3.5,-1.83900325824844,-1.25082799759147,-3.76531732539573,-0.489051479368041
121,Mic_300,Bellavista,3000,B_Dis,2,1.33333333333333,0.318181818181818,0.933333333333333,0.933333333333333,1,0,0,0.042056074766355,0.025375247805154,2,0.106666666666667,0.751473699716706,Plant,Melastomataceae,Miconia,300,121,0.020666667,2.8,3.166666667,0.001,0.026666667,0.026666667,160,10,3,0.979825682828538,-0.350332812935376,0.94056086497956,1.22222804438399
122,Mic_302,Bellavista,3000,B_Dis,4,0.790277777777778,0.090909090909091,0.96,0.8,1,0.346813725490196,0.361581920903955,0.068090787716956,0.039453985028622,2.92572655996732,0.48,0.270352392232869,Plant,Melastomataceae,Miconia,302,122,0.38,3.72,3.32,0.002,0.28,0.16,25,29,6,0.295728185783754,1.00018553218178,0.700614279109586,-1.17784652168793
